Time,Temperatura,Humitat,Pressió atmosfèrica,Precipitació
2024-06-01,19.84212962962963,70.07870370370371,1016.1388888888889,4.8
2024-06-02,20.12951388888889,69.875,1017.4201388888889,0.0
2024-06-03,22.256643356643355,62.33216783216783,1016.2638888888889,0.0
2024-06-04,22.256,67.05818181818182,1014.6979166666666,0.0
2024-06-05,22.643749999999997,71.15625,1016.0034722222222,0.0
2024-06-06,24.525,55.74305555555556,1016.6076388888889,0.0
2024-06-07,23.333216783216784,66.22727272727273,1016.7552447552448,0.0
2024-06-08,23.717361111111114,60.125,1009.2083333333334,0.0
2024-06-09,22.80972222222222,70.12847222222223,1005.2604166666666,0.0
2024-06-10,20.658885017421603,76.25435540069687,1010.9651567944251,33.0
2024-06-11,19.44965277777778,77.07986111111111,1013.9270833333334,57.1
2024-06-12,18.544791666666665,79.9375,1016.8090277777778,24.6
2024-06-13,19.57644927536232,70.42028985507247,1018.8954703832752,0.3
2024-06-14,22.365357142857142,74.63928571428572,1014.3402777777778,0.0
2024-06-15,21.59097222222222,71.48958333333333,1012.3194444444445,0.0
2024-06-16,21.532638888888886,67.54513888888889,1013.7534722222222,0.0
2024-06-17,22.670833333333334,76.80555555555556,1013.0069444444445,0.0
2024-06-18,23.056842105263158,77.64912280701755,1012.0522648083623,0.0
2024-06-19,22.906944444444445,81.22569444444444,1011.5625,0.0
2024-06-20,21.88661971830986,82.46478873239437,1014.7291666666666,10.9
2024-06-21,22.814181818181815,67.2909090909091,1017.3888888888889,0.0
2024-06-22,22.859074733096083,76.97508896797153,1017.9303135888501,0.0
2024-06-23,21.048736462093864,76.71119133574007,1015.6597222222222,2.5
2024-06-24,23.31969111969112,65.89189189189189,1013.3784722222222,0.0
2024-06-25,24.160638297872342,67.04964539007092,1011.1423611111111,0.0
2024-06-26,24.446613545816735,71.0996015936255,1011.4305555555555,0.0
2024-06-27,24.544402985074626,67.29850746268657,1012.6006944444445,0.0
2024-06-28,24.980208333333334,62.895833333333336,1013.8055555555555,0.0
2024-06-29,24.757042253521128,69.70774647887323,1010.21875,0.3
2024-06-30,23.561458333333334,74.07986111111111,1013.9201388888889,0.0
